wdId,eng,chi,grade,gradechi
1,Alice,[名詞]愛莉絲,1,初級
2,A.M.,[縮寫] 上午,1,初級
3,AI,[名詞] 人工智慧 (artificial intelligence),3,中高級
4,ATM,[名詞] Automatic Teller Machine 自動存提款機,3,中高級
5,America,[名詞] 美國;美洲,1,初級
6,American,[形容詞] 美國的;美洲的; [名詞] 美國人,1,初級
7,April,[名詞] 四月,1,初級
8,Asia,[名詞] 亞洲,1,初級
9,Asian,[形容詞] 亞洲的;亞洲人的; [名詞] 亞洲人,1,初級
10,August,[名詞] 八月,1,初級
11,Australia,[名詞] 澳大利亞,1,初級
12,Australian,[形容詞] 澳大利亞(人)的; [名詞] 澳大利亞人,1,初級
13,B.C.,[縮寫] 西元前...年,2,中級
14,B.S.,[縮寫] 理學士,3,中高級
15,Bible,[名詞] 聖經,2,中級
16,Britain,[名詞] 大不列顛;英國,1,初級
17,British,[形容詞] 英國人的;英國的; [名詞] 英國英語,1,初級
18,CD,[名詞] 激光唱片,1,初級
19,Canada,[名詞] 加拿大,1,初級
20,Canadian,[形容詞] 加拿大的; [名詞] 加拿大人,1,初級
21,Celsius,[形容詞] 攝氏的,3,中高級
22,China,[名詞] 中國,2,中級
23,Chinese,[形容詞] 中國的;中國人的; [名詞] 中文;中國人,1,初級
24,Christian,[形容詞] 基督教的; [名詞] 基督教徒,2,中級
25,Christmas,[名詞] 耶誕節,1,初級
26,Coke,[名詞] 可口可樂,1,初級
27,Confucius,[名詞] 孔子,1,初級
28,DVD,[縮寫] 光碟,3,中高級
29,December,[名詞] 十二月,1,初級
30,Double Tenth Day,[片語] 雙十節,1,初級
31,Dr.,[縮寫] 醫生,1,初級
32,Dragon-boat Festival,[片語] 端午節,1,初級
33,EQ,[縮寫] 情緒商數,3,中高級
34,Easter,[名詞] 復活節,1,初級
35,England,[名詞] 英格蘭,1,初級
36,English,[形容詞] 英格蘭的;英國的;英國人的;英語的; [名詞] 英語,1,初級
37,Englishman,[名詞] 英國人,1,初級
38,Europe,[名詞] 歐洲,1,初級
39,European,[形容詞] 歐洲的; [名詞] 歐洲人,1,初級
40,FALSE,[形容詞] 假的,1,初級
41,Fahrenheit,[名詞] 華氏溫標,3,中高級
42,Fascism,[名詞] 法西斯主義,3,中高級
43,February,[名詞] 二月,1,初級
44,Franc,[名詞] 法郎,3,中高級
45,France,[名詞] 法蘭西,1,初級
46,French,[形容詞] 法國的;法語的; [名詞] 法國人;法語,1,初級
47,Friday,[名詞] 星期五,1,初級
48,GMO,[縮寫] 基因改造生物,3,中高級
49,German,[形容詞] 德國的;德國人的; [名詞] 德國人;德語,1,初級
50,Germany,[名詞] 德國,1,初級
51,Halloween,[名詞] 萬聖節,1,初級
52,Hong Kong,[名詞] 香港,1,初級
53,Hualian,[名詞] 花蓮,1,初級
54,I,[代名詞] 我,1,初級
55,I'd,[縮短形] I had; I would,1,初級
56,I'll,[縮短形] I shall,1,初級
57,I'm,[縮短形] I am,1,初級
58,I've,[縮短形] I have,1,初級
59,IQ,[縮寫] 智商 (intelligence quotient),3,中高級
60,India,[名詞] 印度,2,中級
61,Indian,[形容詞] 印度的;印第安的; [名詞] 印度人;印第安人,2,中級
62,Internet,[名詞] 網際網路,1,初級
63,January,[名詞] 一月,1,初級
64,Japan,[名詞] 日本,1,初級
65,Japanese,[形容詞] 日本(人)的; [名詞] 日本人;日語,1,初級
66,July,[名詞] 七月,1,初級
67,June,[名詞] 六月,1,初級
68,KTV,[縮寫] 卡拉OK 電視 (Kara-OK Television),1,初級
69,Kaohsiung,[名詞] 高雄,1,初級
70,Korea,[名詞] 韓國,1,初級
71,Korean,[形容詞] 韓國(人)的; [名詞] 韓國人;韓國語,1,初級
72,LCD,[縮寫] 液晶顯示 (liquid crystal display),3,中高級
73,Lantern Festival,[片語] 元宵節;燈節,1,初級
74,London,[名詞] 倫敦(英國首都),1,初級
75,MRT,[縮寫] 大眾捷運系統,1,初級
76,MTV,[縮寫] 音樂電視,1,初級
77,Mandarin,[名詞] 中國的官話(北京話),1,初級
78,Monday,[名詞] 星期一,1,初級
79,Mother's Day,[片語] 母親節,1,初級
80,Mr.,[縮寫] 先生,1,初級
81,Mrs.,[縮寫] 女士;太太,1,初級
82,Ms.,[縮寫] 女士或小姐,1,初級
83,New Year's Day,[片語] 元旦,1,初級
84,New Year's Eve,[片語] 除夕,1,初級
85,New York,[名詞] 紐約,1,初級
86,November,[名詞] 十一月,1,初級
87,OK,[形容詞] 好吧; [動詞] 尚可;挺好;批准; [副詞] 尚可;挺好;對吧; [名詞] 認可,1,初級
88,October,[名詞] 十月,1,初級
89,Olympic,[形容詞] 奧林匹克(競賽)的,2,中級
90,P.M.,[縮寫] 下午,1,初級
91,PDA,[縮寫] 個人數位助理,3,中高級
92,PE,[縮寫] 體育 (physical education),1,初級
93,Paris,[名詞] 巴黎,1,初級
94,Philippines,[名詞] 菲律賓,1,初級
95,Russia,[名詞] 俄羅斯,1,初級
96,Russian,[形容詞] 俄語的; [名詞] 俄國人;俄語,1,初級
97,Saturday,[名詞] 星期六,1,初級
98,Saudi,[形容詞] 沙烏地阿拉伯的; [名詞] 沙烏地阿拉伯人,3,中高級
99,September,[名詞] 九月,1,初級
100,Singapore,[名詞] 新加坡,1,初級
101,Singaporean,[形容詞] 新加坡的; [名詞] 新加坡人,2,中級
102,Sunday,[名詞] 星期日,1,初級
103,T-shirt,[名詞] 短袖圓領運動衫,1,初級
104,TRUE,[形容詞] 真實的;正確的,1,初級
105,TV,[縮寫] 電視,1,初級
106,Taichung,[名詞] 台中,1,初級
107,Tainan,[名詞] 台南,1,初級
108,Taiwan,[名詞] 台灣,1,初級
109,Taiwanese,[形容詞] 臺灣的,1,初級
110,Teacher's Day,[片語] 教師節,1,初級
111,Thanksgiving,[名詞] 感恩節,1,初級
112,Thursday,[名詞] 星期四,1,初級
113,Tuesday,[名詞] 星期二,1,初級
114,USA,[縮寫] 美國 (United States of America),1,初級
115,VCR,[縮寫] 卡式錄放影機,1,初級
116,Valentine's Day,[片語] 情人節,1,初級
117,Walkman,[名詞] 隨身聽,1,初級
118,Wednesday,[名詞] 星期三,1,初級
119,a,[冠詞] 一個;一種,1,初級
120,abandon,[動詞] 放棄; [名詞] 放縱;放任,2,中級
121,abandoned,[形容詞] 被遺棄的,3,中高級
122,abbey,[名詞] 大修道院,3,中高級
123,abbreviate,[動詞] 縮寫,3,中高級
124,abbreviation,[名詞] 縮寫;省略,3,中高級
125,abdomen,[名詞] 下腹,3,中高級
126,abide,[動詞] 忍受;等候,3,中高級
127,ability,[名詞] 能力;專門技能,1,初級
128,able,[形容詞] 能;有能力的,1,初級
129,abnormal,[形容詞] 不正常的,2,中級
130,aboard,[副詞] 在船(或飛機;車)上;上船(或飛機;車); [介系詞] 上(船,2,中級
131,abolish,[動詞] 廢除;廢止,3,中高級
132,aboriginal,[形容詞] 土著的;土著居民的; [名詞] 土著居民; 土生動物(或植物),3,中高級
133,aborigine,[名詞] 土著居民,3,中高級
134,abortion,[名詞] 墮胎,3,中高級
135,abound,[動詞] 大量存在;富足;充滿,3,中高級
136,about,[副詞] 在四周;在附近;大約; [介系詞] 大約;關於,1,初級
137,above,[形容詞] 上文的,1,初級
138,abroad,[副詞] 在國外,1,初級
139,abrupt,[形容詞] 突然的;意外的,3,中高級
140,absence,[名詞] 缺席,2,中級
141,absent,[形容詞] 缺席的,1,初級
142,absent-minded,[形容詞] 心不在焉的;健忘的,3,中高級
143,absolute,[形容詞] 絕對的;完全的; [名詞] 絕對事物;絕對,2,中級
144,absolutely,[副詞] 絕對地,2,中級
145,absorb,[動詞] 吸收(液體,2,中級
146,abstract,[形容詞] 抽象的; [名詞] 摘要,2,中級
147,abstraction,[名詞] 抽象,3,中高級
148,absurd,[形容詞] 荒謬的;愚蠢的; [名詞] 荒謬;愚蠢,3,中高級
149,abundance,[名詞] 豐富;充足,3,中高級
150,abundant,[形容詞] 大量的;充足的; 豐富的,3,中高級
151,abuse,[動詞] 濫用;虐待; [名詞] 濫用;虐待,2,中級
152,academic,[形容詞] 學術的,2,中級
153,academy,[名詞] 學院;大學;研究院,2,中級
154,accelerate,[動詞] 加快;增長,3,中高級
155,acceleration,[名詞] 加速;促進,3,中高級
156,accent,[名詞] 重音;腔調,2,中級
157,accept,[動詞] 接受,1,初級
158,acceptable,[形容詞] 可以接受的;令人滿意的,2,中級
159,acceptance,[名詞] 接受;領受;(票據等的)承兌,2,中級
160,accepted,[形容詞] 公認的,2,中級
161,access,[動詞] 取出(資料);使用;接近; [名詞] 通道;入口;門路,2,中級
162,accessible,[形容詞] 可(或易)接近的;可(或易)得到的,3,中高級
163,accessory,[形容詞] 附加的;附屬的; [名詞] 附件;配件;從犯,3,中高級
164,accident,[名詞] 事故;災禍,1,初級
165,accidental,[形容詞] 偶然的;意外的,2,中級
166,acclaim,[動詞] 為...喝采;稱讚; [名詞] 歡呼;稱讚,3,中高級
167,accommodate,[動詞] 能容納;能提供...膳宿;給...方便,2,中級
168,accommodation,[名詞] 適應;方便設施;住處,2,中級
169,accompany,[動詞] 陪同;伴隨,2,中級
170,accomplish,[動詞] 完成;實現;達到,2,中級
171,accomplished,[形容詞] 完成了的;有造詣的,3,中高級
172,accord,[動詞] (與...)一致;調解; [名詞] 一致;符合,2,中級
173,accordance,[名詞] 一致;和諧;符合,3,中高級
174,accordingly,[副詞] 照著;相應地;因此,3,中高級
175,account,[動詞] 把...視為;說明; [名詞] 帳目;描述,2,中級
176,accountable,[形容詞] 應負責任的;可說明的,3,中高級
177,accountant,[名詞] 會計師,2,中級
178,accounting,[名詞] 會計;會計學,3,中高級
179,accumulate,[動詞] 累積;積聚,3,中高級
180,accumulation,[名詞] 累積;積聚,3,中高級
181,accuracy,[名詞] 正確(性);準確(性),2,中級
182,accurate,[形容詞] 準確的,2,中級
183,accusation,[名詞] 指控;指責,3,中高級
184,accuse,[動詞] 指控,2,中級
185,accustom,[動詞] 使習慣於,3,中高級
186,accustomed,[形容詞] 慣常的;適應了的,2,中級
187,ace,[形容詞] 第一流的;突出的; [動詞] 發球得分;表現卓越; [名詞] (紙牌)A;么點牌;專家;發球得分,3,中高級
188,ache,[動詞] (持續性地)疼痛;渴望; [名詞] (持續性地)疼痛,2,中級
189,achieve,[動詞] 實現,1,初級
190,achievement,[名詞] 成就,2,中級
191,acid,[形容詞] 酸性的;有酸味的; [名詞] (化學)酸,2,中級
192,acknowledge,[動詞] 承認,3,中高級
193,acne,[名詞] 粉刺,3,中高級
194,acoustic,[形容詞] 聽覺的;音響的; [名詞] 發音響的器具,3,中高級
195,acquaint,[動詞] 使認識;使熟悉,2,中級
196,acquaintance,[名詞] 相識的人,2,中級
197,acquire,[動詞] 取得;獲得,2,中級
198,acquisition,[名詞] 收購;取得,3,中高級
199,acre,[名詞] 英畝,2,中級
200,across,[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過,1,初級
201,act,[動詞] 扮演; [名詞] 行動,1,初級
202,acting,[形容詞] 代理的;臨時的;裝腔作勢的; [名詞] 演戲;演技;假裝,3,中高級
203,action,[名詞] 動作,1,初級
204,activate,[動詞] 啟動;發動;使活潑,3,中高級
205,active,[形容詞] 活躍的,1,初級
206,activist,[名詞] 激進主義份子;行動主義者,3,中高級
207,activity,[名詞] 活動,1,初級
208,actor,[名詞] 男演員,1,初級
209,actress,[名詞] 女演員,1,初級
210,actual,[形容詞] 實際的;事實上的,2,中級
211,actually,[副詞] 實際上,1,初級
212,acute,[形容詞] 尖銳的;敏銳的;劇烈的; [名詞] 置於母音上的發音符號('),3,中高級
213,ad,[名詞] 廣告,3,中高級
214,adapt,[動詞] 使適應;使適合,2,中級
215,adaptation,[名詞] 適應;改寫,3,中高級
216,add,[動詞] 添加,1,初級
217,addict,[名詞] 入迷的人;有癮的人,3,中高級
218,addicted,[形容詞] 沈溺於不良嗜好的,3,中高級
219,addiction,[名詞] 沈溺;上癮,3,中高級
220,addition,[名詞] 加;附加,1,初級
221,additional,[形容詞] 附加的;額外的,2,中級
222,additive,[形容詞] 附加的; [名詞] 添加劑;添加物,3,中高級
223,address,[名詞] 地址; 演說,1,初級
224,adequate,[形容詞] 足夠的,2,中級
225,adhere,[動詞] 黏附;緊黏,3,中高級
226,adjacent,[形容詞] 毗連的;鄰近的,3,中高級
227,adjective,[名詞] 形容詞,2,中級
228,adjoin,[動詞] 貼近;毗連,3,中高級
229,adjust,[動詞] 校準;調整;適應,2,中級
230,adjustment,[名詞] 調節;調整,3,中高級
231,administer,[動詞] 管理;給予;執行,3,中高級
232,administration,[名詞] 管理;經營;管理部門,2,中級
233,administrative,[形容詞] 管理的;行政的,3,中高級
234,administrator,[名詞] 管理人;行政官員,3,中高級
235,admirable,[形容詞] 值得讚揚的;絕妙的,2,中級
236,admiral,[名詞] 艦隊司令; 海軍上將,3,中高級
237,admiration,[名詞] 欽佩;羨慕,2,中級
238,admire,[動詞] 欽佩;欣賞,1,初級
239,admission,[名詞] 進入許可;入場費;承認,2,中級
240,admit,[動詞] 承認;准許進入;可容納,1,初級
241,adolescence,[名詞] 青春期,3,中高級
242,adolescent,[形容詞] 青少年的;未成熟的; [名詞] 青少年,3,中高級
243,adopt,[動詞] 採納;收養;接受,1,初級
244,adore,[動詞] 崇拜;愛慕,3,中高級
245,adult,[名詞] 成年人,1,初級
246,adulthood,[名詞] 成年(期),3,中高級
247,advance,[動詞] 推進;提升;貸(款); [名詞] 前進;發展;預付,1,初級
248,advanced,[形容詞] 先進的;高等的,2,中級
249,advancement,[名詞] 前進;進展;預付款項,3,中高級
250,advantage,[名詞] 優點,1,初級
251,advent,[名詞] 出現;到來,3,中高級
252,adventure,[名詞] 冒險;冒險活動,2,中級
253,adverb,[名詞] 副詞,3,中高級
254,adverse,[形容詞] 逆向的;相反的;反面的,3,中高級
255,advert,[名詞] 促銷廣告,3,中高級
256,advertise,[動詞] 為...做廣告;公佈,2,中級
257,advertisement,[名詞] 廣告,3,中高級
258,advertiser,[名詞] 刊登廣告者;廣告客戶,3,中高級
259,advertising,[名詞] (總稱)廣告;登廣告,3,中高級
260,advertize,[動詞] advertise,2,中級
261,advice,[名詞] 忠告,1,初級
262,advisable,[形容詞] 可取的;明智的;適當的,3,中高級
263,advise,[動詞] 勸告,1,初級
264,adviser,[名詞] 顧問;指導教授,2,中級
265,advisor,[名詞] adviser,2,中級
266,advisory,[形容詞] 顧問的;諮詢的; [名詞] 報告;(警告危險的)公告,3,中高級
267,advocate,[動詞] 擁護;提倡; [名詞] 提倡者;擁護者,3,中高級
268,aerial,[形容詞] 航空的;大氣的;虛幻的; [名詞] 天線,3,中高級
269,aerospace,[名詞] 航空航天學,3,中高級
270,aesthetic,[形容詞] 美學的,3,中高級
271,aesthetics,[名詞] 美學,3,中高級
272,affair,[名詞] 事件;風流韻事;喜慶活動,1,初級
273,affect,[動詞] 影響,1,初級
274,affection,[名詞] 愛慕;鍾愛,2,中級
275,affectionate,[形容詞] 充滿深情的;溫柔親切的,3,中高級
276,affiliate,[動詞] 接納為成員; [名詞] 成員;成員組織;分會,3,中高級
277,affirm,[動詞] 斷言;申明;堅稱,3,中高級
278,afflict,[動詞] 使痛苦;使苦惱;折磨,3,中高級
279,afford,[動詞] 買得起,2,中級
280,afraid,[形容詞] 害怕,1,初級
281,after,[介系詞] 在…之後; [連接詞] 在...之後,1,初級
282,aftermath,[名詞] 後果;餘波,3,中高級
283,afternoon,[名詞] 下午;午後,1,初級
284,afterwards,[副詞] 之後,2,中級
285,again,[副詞] 再一次,1,初級
286,against,[介系詞] 反對,1,初級
287,age,[動詞] 使變老;使(酒之)味道變醇;使成熟; [名詞] 年齡,1,初級
288,aged,[形容詞] 年老的;舊的,2,中級
289,agency,[名詞] 仲介;代理,2,中級
290,agenda,[名詞] 議程,3,中高級
291,agent,[名詞] 代理人;代理商,2,中級
292,aggravate,[動詞] 加重;增劇;使惡化,3,中高級
293,aggregate,[形容詞] 聚集的;合計的; [動詞] 聚集; [名詞] 總數;合計,3,中高級
294,aggression,[名詞] 侵略;侵犯行為,3,中高級
295,aggressive,[形容詞] 好鬥的,2,中級
296,aging,[形容詞] 變老的; [名詞] 變老;老化;(酒等的)陳化,3,中高級
297,agitate,[動詞] 使激動;攪動;煽動,3,中高級
298,agitation,[名詞] 激動;鼓動;攪動,3,中高級
299,ago,[副詞] 以前,1,初級
300,agony,[名詞] 極度痛苦,3,中高級
301,agree,[動詞] 同意,1,初級
302,agreeable,[形容詞] 欣然贊同的,2,中級
303,agreement,[名詞] 同意,2,中級
304,agricultural,[形容詞] 農業的,3,中高級
305,agriculture,[名詞] 農業,2,中級
306,ahead,[副詞] 在前;向前;預先;事前,1,初級
307,aid,[動詞] 有助於; [名詞] 幫助;助手;助聽器,1,初級
308,aide,[名詞] 助手,3,中高級
309,aids,[名詞] 愛滋病,1,初級
310,aim,[動詞] 瞄準,1,初級
311,air,[名詞] 空氣,1,初級
312,air-conditioned,[形容詞] 裝有空氣調節設備的,2,中級
313,aircraft,[名詞] 航空器;飛機,1,初級
314,airlift,[動詞] 空運; [名詞] (緊急)空運補給系統,3,中高級
315,airline,[名詞] 航空公司,1,初級
316,airmail,[名詞] 航空郵件,2,中級
317,airplane,[名詞] 飛機,1,初級
318,airport,[名詞] 飛機場,1,初級
319,airtight,[形容詞] 密閉的;無懈可擊的,3,中高級
320,airway,[名詞] 風道;氣道;航空公司,3,中高級
321,aisle,[名詞] 通道;走道,3,中高級
322,alarm,[名詞] 警鈴;警報;驚慌,1,初級
323,alarming,[形容詞] 驚人的;令人擔憂的;告急的,3,中高級
324,album,[名詞] 相簿;集郵簿;唱片集,1,初級
325,alcohol,[名詞] 酒精;酒,2,中級
326,alcoholic,[形容詞] 含酒精的;酗酒的; [名詞] 酒鬼,2,中級
327,alert,[形容詞] 警惕的;機敏的; [動詞] 向...報警;使警覺; [名詞] 警戒,2,中級
328,algebra,[名詞] 代數,3,中高級
